DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
01-01-1990,1528,,,,,
01-02-1990,1454,,,,,
01-03-1990,1567,,,,,
01-04-1990,1526,,,,,
01-05-1990,1527,,,,,
01-06-1990,1566,,,,,
01-07-1990,1571,,,,,
01-08-1990,1782,,,,,
01-09-1990,2067,,,,,
01-10-1990,1946,,,,,
01-11-1990,1618,,,,,
01-12-1990,1522,,,,,
01-01-1991,1515,,,,,
01-02-1991,1505,,,,,
01-03-1991,1496,,,,,
01-04-1991,1392,,,,,
01-05-1991,1299.949951,,,,,
01-06-1991,1283.550049,,,,,
01-07-1991,1297.546631,,,,,
01-08-1991,1259.693359,,,,,
01-09-1991,1212.095215,,,,,
01-10-1991,1152.95459,,,,,
01-11-1991,1134.925049,,,,,
01-12-1991,1099.526367,,,,,
01-01-1992,1181.227295,,,,,
01-02-1992,1270.75,,,,,
01-03-1992,1282.022705,,,,,
01-04-1992,1317.125,,,,,
01-05-1992,1306.710693,,,,,
01-06-1992,1275.272705,,,,,
01-07-1992,1314.3479,,,,,
01-08-1992,1305.550049,,,,,
01-09-1992,1270.214355,,,,,
01-10-1992,1180.841064,,,,,
01-11-1992,1162.214355,,,,,
01-12-1992,1209.023804,,,,,
01-01-1993,1208.099976,,,,,
01-02-1993,1203.150024,,,,,
01-03-1993,1150.478271,,,,,
01-04-1993,1110.275024,,,,,
01-05-1993,1125.421021,,,,,
01-06-1993,1168.090942,,,,,
01-07-1993,1203.181763,,,,,
01-08-1993,1172.761963,,,,,
01-09-1993,1116.909058,,,,,
01-10-1993,1089.428589,,,,,
01-11-1993,1040.022705,,,,,
01-12-1993,1091.349976,,,,,
01-01-1994,1170,,,,,
01-02-1994,1270.525024,,,,,
01-03-1994,1287.695679,,,,,
01-04-1994,1277.289429,,,,,
01-05-1994,1321.047607,,,,,
01-06-1994,1402.363647,,,,,
01-07-1994,1491.952393,,,,,
01-08-1994,1457.068237,,,,,
01-09-1994,1571.090942,,,,,
01-10-1994,1694.261963,,,,,
01-11-1994,1885.886353,,,,,
01-12-1994,1878.375,,,,,
01-01-1995,2059.357178,,,,,
01-02-1995,1905.449951,,,,,
01-03-1995,1799.978271,,,,,
01-04-1995,1849.444458,,,,,
01-05-1995,1765.476196,,,,,
01-06-1995,1775.79541,,,,,
01-07-1995,1867.275024,,,,,
01-08-1995,1890.04541,,,,,
01-09-1995,1761.724976,,,,,
01-10-1995,1671.95459,,,,,
01-11-1995,1655.928589,,,,,
01-12-1995,1657.815796,,,,,
01-01-1996,1584.476196,,,,,
01-02-1996,1594.571411,,,,,
01-03-1996,1614.857178,,,,,
01-04-1996,1587.400024,,,,,
01-05-1996,1593.857178,,,,,
01-06-1996,1485.75,,,,,
01-07-1996,1460.021729,,,,,
01-08-1996,1466.785767,,,,,
01-09-1996,1405.761963,,,,,
01-10-1996,1336.021729,,,,,
01-11-1996,1451.047607,,,,,
01-12-1996,1500.976196,,,,,
01-01-1997,1575.136353,,,,,
01-02-1997,1582.052979,,,,,
01-03-1997,1631.184204,,,,,
01-04-1997,1561.113647,,,,,
01-05-1997,1625.449951,,,,,
01-06-1997,1567.19043,,,,,
01-07-1997,1591.586914,,,,,
01-08-1997,1710.025024,,,,,
01-09-1997,1611.619019,,,,,
01-10-1997,1607.32605,,,,,
01-11-1997,1598.324951,,,,,
01-12-1997,1530.523804,,,,,
01-01-1998,1485.474976,,,,,
01-02-1998,1465.175049,,,,,
01-03-1998,1438.318237,,,,,
01-04-1998,1417.550049,,,,,
01-05-1998,1364.315796,,,,,
01-06-1998,1305.523804,,,,,
01-07-1998,1312.666626,,,,,
01-08-1998,1310.550049,,,,,
01-09-1998,1341.886353,,,,,
01-10-1998,1303.70459,,,,,
01-11-1998,1295.300049,,,,,
01-12-1998,1250.394775,,,,,
01-01-1999,1219.400024,,,,,
01-02-1999,1186.475,,,,,
01-03-1999,1179.863636,,,,,
01-04-1999,1277.85,,,,,
01-05-1999,1323.131579,,,,,
01-06-1999,1315.522727,,,,,
01-07-1999,1403.363636,,,,,
01-08-1999,1421.690476,,,,,
01-09-1999,1492.068182,,,,,
01-10-1999,1473.333333,,,,,
01-11-1999,1472.431818,,,,,
01-12-1999,1554.735294,,,,,
01-01-2000,1679.85,,,,,
01-02-2000,1679.425,,,,,
01-03-2000,1579.64,,,,,
01-04-2000,1458.745,,,,,
01-05-2000,1468.065217,,,,,
01-06-2000,1509.372727,,,,,
01-07-2000,1564.37619,,,,,
01-08-2000,1530.334783,,,,,
01-09-2000,1602.309524,,,,,
01-10-2000,1501.245455,,,,,
01-11-2000,1475.554545,,,,,
01-12-2000,1569.055,,,,,
01-01-2001,1619.877273,,,,,
01-02-2001,1607.03,,,,,
01-03-2001,1512.172727,,,,,
01-04-2001,1499.483333,,,,,
01-05-2001,1542.390476,,,,,
01-06-2001,1470.833333,,,,,
01-07-2001,1418.622727,,,,,
01-08-2001,1377.845455,,,,,
01-09-2001,1345.995,,,,,
01-10-2001,1283.530435,,,,,
01-11-2001,1334.454545,,,,,
01-12-2001,1348.723529,,,,,
01-01-2002,1371.363636,,,,,
01-02-2002,1371.08,,,,,
01-03-2002,1404.985,,,,,
01-04-2002,1370.385714,,,,,
01-05-2002,1344.427273,,,,,
01-06-2002,1356.933333,,,,,
01-07-2002,1337.865217,,,,,
01-08-2002,1293.357143,,,,,
01-09-2002,1301.7,,,,,
01-10-2002,1311.46087,,,,,
01-11-2002,1373.266667,,,,,
01-12-2002,1375.861905,,,,,
01-01-2003,1379.268182,,,,,
01-02-2003,1421.535,,,,,
01-03-2003,1386.52381,,,,,
01-04-2003,1334.29,,,,,
01-05-2003,1400.3975,,,,,
01-06-2003,1410.516667,,,,,
01-07-2003,1440.880435,,,,,
01-08-2003,1457.225,,,,,
01-09-2003,1416.577273,,,,,
01-10-2003,1477.223913,,,,,
01-11-2003,1511.585,,,,,
01-12-2003,1557.778571,,,,,
01-01-2004,1608.892857,,,,,
01-02-2004,1685.225,,,,,
01-03-2004,1657.354348,,,,,
01-04-2004,1731.68,,,,,
01-05-2004,1625.25,,,,,
01-06-2004,1682.029545,,,,,
01-07-2004,1707.840909,,,,,
01-08-2004,1692.071429,,,,,
01-09-2004,1731,,,,,
01-10-2004,1830.357143,,,,,
01-11-2004,1817.340909,,,,,
01-12-2004,1852.909524,,,,,
01-01-2005,1836.175,,,,,
01-02-2005,1882.775,,,,,
01-03-2005,1987.5,,,,,
01-04-2005,1891.988095,,,,,
01-05-2005,1741.45,,,,,
01-06-2005,1731.943182,,,,,
01-07-2005,1783.261905,,,,,
01-08-2005,1871.272727,,,,,
01-09-2005,1837.693182,,,,,
01-10-2005,1934.142857,,,,,
01-11-2005,2056.970455,,,,,
01-12-2005,2250.9,,,,,
01-01-2006,2383.302381,,,,,
01-02-2006,2453.375,,,,,
01-03-2006,2432.478261,,,,,
01-04-2006,2623.858333,,,,,
01-05-2006,2852.071429,,,,,
01-06-2006,2490.954545,,,,,
01-07-2006,2511.833333,,,,,
01-08-2006,2461.552273,,,,,
01-09-2006,2484.380952,,,,,
01-10-2006,2657.147727,,,,,
01-11-2006,2702.136364,,,,,
01-12-2006,2823.671053,,,,,
01-01-2007,2799.059091,,,,,
01-02-2007,2839.05,,,,,
01-03-2007,2757.079545,,,,,
01-04-2007,2817.052632,,,,,
01-05-2007,2804.604762,,,,,
01-06-2007,2681.309524,,,,,
01-07-2007,2738.090909,,,,,
01-08-2007,2512.602273,,,,,
01-09-2007,2394.9625,,,,,
01-10-2007,2444.532609,,,,,
01-11-2007,2507.152273,,,,,
01-12-2007,2382.833333,,,,,
01-01-2008,2456.125,,,,,
01-02-2008,2784.892857,,,,,
01-03-2008,3012.052632,,,,,
01-04-2008,2968.034091,,,,,
01-05-2008,2908.2775,,,,,
01-06-2008,2967.869048,,,,,
01-07-2008,3067.456522,,,,,
01-08-2008,2762.56,,,,,
01-09-2008,2524.147727,,,,,
01-10-2008,2122.028261,,,,,
01-11-2008,1857.13,,,,,
01-12-2008,1504.416667,,,,,
01-01-2009,1420.359524,,,,,
01-02-2009,1338.0625,,,,,
01-03-2009,1338.079545,,,,,
01-04-2009,1431.8125,,,,,
01-05-2009,1466.671053,,,,,
01-06-2009,1579.627273,,,,,
01-07-2009,1670.556522,,,,,
01-08-2009,1927.6375,,,,,
01-09-2009,1835.597727,,,,,
01-10-2009,1875.663636,,,,,
01-11-2009,1956.547619,,,,,
01-12-2009,2181.257143,,,,,
01-01-2010,2230.1125,,,,,
01-02-2010,2053.27,,,,,
01-03-2010,2210.530435,,,,,
01-04-2010,2314.2775,,,,,
01-05-2010,2044.710526,,,,,
01-06-2010,1929.409091,,,,,
01-07-2010,1989.045455,,,,,
01-08-2010,2110.440476,,,,,
01-09-2010,2171.243182,,,,,
01-10-2010,2342.178571,,,,,
01-11-2010,2324.045455,,,,,
01-12-2010,2356.669048,,,,,
01-01-2011,2439.7,,,,,
01-02-2011,2515.26,,,,,
01-03-2011,2555.5,,,,,
01-04-2011,2667.416667,,,,,
01-05-2011,2587.2125,,,,,
01-06-2011,2557.761364,,,,,
01-07-2011,2525.428571,,,,,
01-08-2011,2380.975,,,,,
01-09-2011,2293.461364,,,,,
01-10-2011,2180.647619,,,,,
01-11-2011,2079.981818,,,,,
01-12-2011,2024.375,,,,,
01-01-2012,2151.333333,,,,,
01-02-2012,2207.916667,,,,,
01-03-2012,2184.159091,,,,,
01-04-2012,2048.505263,,,,,
01-05-2012,2002.522727,,,,,
01-06-2012,1885.513158,,,,,
01-07-2012,1876.25,,,,,
01-08-2012,1843.327273,,,,,
01-09-2012,2064.12,,,,,
01-10-2012,1974.304348,,,,,
01-11-2012,1948.829545,,,,,
01-12-2012,2086.763158,,,,,
01-01-2013,2037.606818,,,,,
01-02-2013,2053.595,,,,,
01-03-2013,1911.2825,,,,,
01-04-2013,1861.02381,,,,,
01-05-2013,1832.571429,,,,,
01-06-2013,1814.5375,,,,,
01-07-2013,1769.608696,,,,,
01-08-2013,1816.235714,,,,,
01-09-2013,1761.304762,,,,,
01-10-2013,1814.582609,,,,,
01-11-2013,1747.964286,,,,,
01-12-2013,1739.81,,,,,
01-01-2014,1727.411364,,,,,
01-02-2014,1695.165,,,,,
01-03-2014,1705.366667,,,,,
01-04-2014,1810.675,,,,,
01-05-2014,1751.05,,,,,
01-06-2014,1838.952381,,,,,
01-07-2014,1948.304348,,,,,
01-08-2014,2030.4925,,,,,
01-09-2014,1990.431818,,,,,
01-10-2014,1946.18913,,,,,
01-11-2014,2055.555,,,,,
01-12-2014,1909.459524,,,,,
01-01-2015,1814.719048,,,,,
01-02-2015,1817.82,,,,,
01-03-2015,1773.863636,,,,,
01-04-2015,1819.1875,,,,,
01-05-2015,1804.039474,,,,,
01-06-2015,1687.727273,,,,,
01-07-2015,1639.5,,,,,
01-08-2015,1548.125,,,,,
01-09-2015,1589.602273,,,,,
01-10-2015,1516.488636,,,,,
01-11-2015,1467.892857,,,,,
01-12-2015,1497.202381,,,,,
01-01-2016,1481.1,,,,,
01-02-2016,1531.261905,,,,,
01-03-2016,1531.011905,,,,,
01-04-2016,1571.22619,,,,,
01-05-2016,1550.625,,,,,
01-06-2016,1593.506818,,,,,
01-07-2016,1629.047619,,,,,
01-08-2016,1639.284091,,,,,
01-09-2016,1592.363636,,,,,
01-10-2016,1665.904762,,,,,
01-11-2016,1737.113636,,,,,
01-12-2016,1727.7375,,,,,
01-01-2017,1791.238095,,,,,
01-02-2017,1860.75,,,,,
01-03-2017,1901.467391,,,,,
01-04-2017,1921.222222,,,,,
01-05-2017,1913.02381,,,,,
01-06-2017,1885.286364,,,,,
01-07-2017,1902.964286,,,,,
01-08-2017,2030.011364,,,,,
01-09-2017,2096.488095,,,,,
01-10-2017,2131.488636,,,,,
01-11-2017,2097.440909,,,,,
01-12-2017,2080.473684,,,,,
01-01-2018,2209.727273,,,,,
01-02-2018,2181.7875,,,,,
01-03-2018,2069.238095,,,,,
01-04-2018,2254.6875,,,,,
01-05-2018,2299.666667,,,,,
01-06-2018,2237.619048,,,,,
01-07-2018,2082.238636,,,,,
01-08-2018,2051.511364,,,,,
01-09-2018,2026.4625,,,,,
01-10-2018,2029.858696,,,,,
01-11-2018,1938.511364,,,,,
01-12-2018,1920.381579,,,,,
01-01-2019,1853.715909,,,,,
01-02-2019,1862.9875,,,,,
01-03-2019,1871.214286,,,,,
01-04-2019,1845.425,,,,,
01-05-2019,1781.261905,,,,,
01-06-2019,1755.95,,,,,
01-07-2019,1796.98913,,,,,
01-08-2019,1740.678571,,,,,
01-09-2019,1753.511905,,,,,
01-10-2019,1725.956522,,,,,
01-11-2019,1774.785714,,,,,
01-12-2019,1771.38,,,,,
01-01-2020,1773.090909,,,,,
01-02-2020,1688.095,,,,,
01-03-2020,1610.890909,,,,,
01-04-2020,1459.9345,,,,,
01-05-2020,1466.371579,,,,,
01-06-2020,1568.570455,,,,,
01-07-2020,1643.812174,,,,,
01-08-2020,1738.555238,,,,,
01-09-2020,1743.774545,,,,,
01-10-2020,1806.101818,,,,,
01-11-2020,1935.283333,,,,,
01-12-2020,2014.671905,,,,,
01-01-2021,2003.9755,,,,,
01-02-2021,2078.5935,,,,,
01-03-2021,2190.482609,,,,,
01-04-2021,2319.3925,,,,,
01-05-2021,2434.7765,,,,,
01-06-2021,2446.645455,,,,,
01-07-2021,2497.635455,,,,,
01-08-2021,2602.991905,,,,,
01-09-2021,2834.556818,,,,,
01-10-2021,2934.39381,,,,,
01-11-2021,2636.452273,,,,,
01-12-2021,2695.531429,,,,,
01-01-2022,3005.9805,,,,,
01-02-2022,3245.7855,,,,,
01-03-2022,3498.373043,,,,,
01-04-2022,3246.990476,,,,,
01-05-2022,2839.505455,,,,,
01-06-2022,2575.669545,,,,,
01-07-2022,2408.423333,,,,,
01-08-2022,2433.916087,,,,,
01-09-2022,2224.755909,,,,,
01-10-2022,2255.535238,,,,,
01-11-2022,2350.716364,,,,,
01-12-2022,2398.206818,,,,,
01-01-2023,2494.900909,,,,,
01-02-2023,2416.1815,,,,,
01-03-2023,2296.416957,2296.416957,2296.416957,2296.416957,2296.416957,2296.416957
01-04-2023,,2293.461364,2439,2415,2315.078796,2379.653246
01-05-2023,,2180.647619,2798,2308,2333.740636,2462.889534
01-06-2023,,2079.981818,2321,2201,2352.402475,2546.125823
01-07-2023,,2024.375,2917,2094,2371.064314,2629.362111
01-08-2023,,2151.333333,2576,2046,2389.726153,2712.5984
01-09-2023,,2207.916667,2690,2152,2408.387993,2795.834688
01-10-2023,,2184.159091,2285,2258,2427.049832,2879.070977
01-11-2023,,2048.505263,2367,2364,2445.711671,2962.307265
01-12-2023,,2002.522727,2944,2470,2464.373511,3045.543554
01-01-2024,,1885.513158,2389,2576,2483.03535,3128.779842
01-02-2024,,1876.25,2890,2682,2501.697189,3212.016131
01-03-2024,,1843.327273,2312,2788,2520.359028,3295.252419
01-04-2024,,2064.12,2671,2856,2539.020868,3378.488708
01-05-2024,,1974.304348,2955,2692,2557.682707,3461.724996
01-06-2024,,1948.829545,2350,2596,2576.344546,3544.961285
01-07-2024,,2086.763158,2445,2500,2595.006385,3628.197573
01-08-2024,,2037.606818,2299,2404,2613.668225,3711.433862
